,price
0,807100
1,570000
2,320000
3,649000
4,568000
5,193000
6,424950
7,494000
8,699800
9,530000
10,180000
11,1339000
12,526000
13,450000
14,535000
15,412500
16,3000000
17,278500
18,269000
19,248000
20,865000
21,260000
22,985000
23,355000
24,437000
25,830005
26,257000
27,485000
28,809000
29,707900
30,325000
31,775000
32,366000
33,460000
34,346500
35,325000
36,360000
37,632000
38,655000
39,1378000
40,389000
41,780000
42,340000
43,1008000
44,366000
45,385000
46,430000
47,1875000
48,605000
49,215000
50,245000
51,964000
52,2903000
53,345000
54,725000
55,597500
56,875000
57,760369
58,295000
59,260000
60,500000
61,379500
62,220000
63,730000
64,288000
65,475000
66,490000
67,625000
68,525000
69,402000
70,277000
71,960000
72,579000
73,270000
74,585000
75,200000
76,410500
77,545000
78,237500
79,334500
80,243000
81,558000
82,216000
83,390000
84,348500
85,887200
86,530000
87,230000
88,875000
89,415000
90,746000
91,751305
92,424000
93,218500
94,210000
95,647500
96,215000
97,270000
98,390000
99,189900
100,975000
101,599380
102,750000
103,339888
104,279000
105,533250
106,504200
107,936000
108,395350
109,490000
110,289571
111,314950
112,180000
113,479000
114,280000
115,625000
116,772500
117,189000
118,850000
119,267000
120,350000
121,385000
122,475000
123,335000
124,261350
125,497000
126,229500
127,3800000
128,148000
129,400000
130,625000
131,223000
132,638000
133,345000
134,278500
135,774000
136,459000
137,725000
138,364900
139,807000
140,281000
141,435500
142,260000
143,649000
144,939000
145,1211000
146,453000
147,105500
148,193000
149,2147500
150,1200000
151,195000
152,865950
153,425000
154,1250000
155,277500
156,423500
157,289950
158,680000
159,600000
160,250000
161,495000
162,651000
163,630000
164,619000
165,550000
166,500000
167,1570000
168,540000
169,679000
170,235000
171,883000
172,335000
173,432500
174,180000
175,570000
176,450000
177,259500
178,436000
179,439000
180,370000
181,135000
182,825000
183,2340000
184,390000
185,720000
186,982000
187,388000
188,456000
189,889000
190,308000
191,654950
192,410000
193,480000
194,460940
195,350000
196,725000
197,275000
198,392440
199,547000
200,525000
201,1070000
202,193000
203,246000
204,686000
205,400000
206,615000
207,239950
208,345000
209,510000
210,400000
211,320000
212,439950
213,295000
214,1495000
215,541000
216,413000
217,635000
218,188200
219,518000
220,451101
221,219950
222,750000
223,362000
224,360000
225,1325000
226,500000
227,710000
228,659000
229,252000
230,290000
231,197500
232,430000
233,273500
234,240000
235,425000
236,385000
237,720000
238,498688
239,1275000
240,511000
241,550000
242,339000
243,237500
244,315000
245,460000
246,827500
247,495000
248,231750
249,488000
250,285950
251,530000
252,329932
253,1085500
254,940000
255,222000
256,464000
257,329900
258,390000
259,369950
260,469000
261,96500
262,284000
263,649950
264,343000
265,417000
266,280000
267,1475000
268,490000
269,249900
270,485000
271,252500
272,225000
273,209977
274,320000
275,835000
276,349000
277,547500
278,780000
279,2480000
280,350000
281,740000
282,1072500
283,440000
284,269000
285,398000
286,163500
287,1200000
288,316000
289,725000
290,342000
291,205000
292,304000
293,450000
294,1324050
295,206000
296,847700
297,1385000
298,680000
299,383610
300,590000
301,355000
302,337500
303,839000
304,717000
305,503000
306,453000
307,390000
308,399000
309,370000
310,380000
311,160000
312,525000
313,342500
314,319000
315,315000
316,455000
317,399440
318,259000
319,1905000
320,339500
321,427000
322,982218
323,425000
324,545000
325,798000
326,525000
327,198000
328,484000
329,705000
330,615000
331,215000
332,329000
333,425000
334,200500
335,522000
336,1465000
337,1100000
338,1240000
339,325000
340,260000
341,723000
342,301500
343,585000
344,280000
345,399950
346,810000
347,199990
348,917000
349,240000
350,245500
351,735000
352,749000
353,650000
354,465000
355,222000
356,312000
357,520000
358,615000
359,256703
360,495000
361,275000
362,370000
363,525000
364,625000
365,1200000
366,450000
367,415000
368,350000
369,322000
370,249950
371,345000
372,499000
373,551870
374,612500
375,965000
376,430000
377,550000
378,555000
379,433200
380,450000
381,284000
382,162500
383,335000
384,272000
385,386000
386,299999
387,615000
388,830000
389,490000
390,257000
391,295000
392,270000
393,442250
394,700000
395,480000
396,485000
397,280000
398,310000
399,488250
400,949000
401,465000
402,305500
403,390000
404,537000
405,342500
406,325000
407,530000
408,650000
409,353000
410,845000
411,269950
412,709950
413,385000
414,360000
415,295000
416,483453
417,115000
418,213675
419,7062500
420,1385000
421,623300
422,745000
423,1705000
424,265000
425,433495
426,815000
427,1125000
428,1000000
429,265000
430,400000
431,329950
432,376000
433,815000
434,739000
435,299000
436,415000
437,275000
438,432000
439,250000
440,505000
441,500000
442,1080000
443,736000
444,175000
445,440000
446,363000
447,552900
448,394950
449,320000
450,970000
451,615000
452,253779
453,195000
454,360000
455,435000
456,200000
457,685000
458,687500
459,705000
460,505000
461,500000
462,541125
463,315000
464,535000
465,835000
466,565000
467,418500
468,850000
469,315000
470,2200000
471,200450
472,895000
473,770000
474,225000
475,1500000
476,330000
477,623000
478,447450
479,375000
480,255000
481,356000
482,350000
483,475000
484,299000
485,580000
486,525000
487,925000
488,200000
489,397000
490,1346400
491,515000
492,658000
493,292500
494,527200
495,240000
496,499000
497,383000
498,559500
499,262000
500,865000
501,238000
502,550000
503,428900
504,326000
505,413900
506,245000
507,240000
508,436000
509,245000
510,280000
511,403950
512,442000
513,285000
514,467500
515,305000
516,254950
517,370000
518,625000
519,340000
520,161700
521,732000
522,767450
523,253500
524,291500
525,645000
526,608000
527,246600
528,319950
529,284950
530,500000
531,600000
532,344000
533,370000
534,715000
535,425000
536,749000
537,419500
538,163000
539,319000
540,275000
541,610000
542,1130000
543,200000
544,530000
545,338900
546,493000
547,771005
548,490000
549,210000
550,179950
551,475000
552,189000
553,585000
554,425000
555,343566
556,850000
557,400000
558,920000
559,450000
560,1205000
561,491000
562,200000
563,512500
564,230000
565,590300
566,370000
567,400000
568,606000
569,419000
570,225000
571,485000
572,395000
573,658500
574,860000
575,324950
576,187500
577,438750
578,304900
579,302500
580,335000
581,435000
582,599950
583,740000
584,220000
585,385500
586,1240000
587,238000
588,279000
589,345000
590,525000
591,925000
592,619000
593,570000
594,495000
595,335000
596,330000
597,450000
598,258000
599,400000
600,2900000
601,410000
602,315000
603,394000
604,440000
605,450000
606,723000
607,250000
608,675000
609,109000
610,300000
611,337000
612,585000
613,270000
614,218250
615,295000
616,352000
617,245000
618,631000
619,329950
620,600000
621,535000
622,240000
623,423700
624,499000
625,265000
626,789900
627,250000
628,280000
629,234000
630,535000
631,561000
632,471000
633,429950
634,380000
635,750000
636,685000
637,800000
638,408474
639,380000
640,500000
641,405000
642,350000
643,340000
644,250000
645,447500
646,630000
647,602000
648,320000
649,840000
650,302000
651,425000
652,215000
653,565000
654,600000
655,425000
656,575000
657,274000
658,604000
659,800000
660,495000
661,425000
662,315000
663,525000
664,260000
665,950000
666,577000
667,340000
668,386000
669,772000
670,619420
671,425000
672,519950
673,886000
674,355000
675,342400
676,359950
677,210000
678,449000
679,249900
680,1851000
681,475000
682,365000
683,212000
684,800000
685,265000
686,750000
687,319950
688,405000
689,599000
690,349950
691,450000
692,299950
693,517500
694,160000
695,195000
696,529000
697,270000
698,465000
699,3300000
700,236000
701,193000
702,375000
703,665000
704,243000
705,586000
706,526500
707,712000
708,540000
709,550000
710,439950
711,226750
712,560000
713,399950
714,700000
715,595000
716,699000
717,288000
718,363990
719,332000
720,295500
721,269000
722,550000
723,368250
724,183000
725,490000
726,325000
727,318000
728,440000
729,333000
730,287000
731,645000
732,380000
733,244000
734,440000
735,627250
736,315000
737,357000
738,427500
739,607000
740,850000
741,225000
742,641200
743,515000
744,397000
745,700000
746,518000
747,550000
748,385000
749,765000
750,895000
751,385000
752,1945000
753,465000
754,607000
755,905000
756,390000
757,802000
758,300000
759,219900
760,1260000
761,622000
762,675000
763,443000
764,880000
765,779950
766,283000
767,938000
768,461000
769,459000
770,225000
771,395825
772,225000
773,1150000
774,488000
775,255000
776,466750
777,249000
778,805000
779,276000
780,268500
781,1300000
782,490000
783,366000
784,403000
785,349000
786,389000
787,1240000
788,245000
789,265000
790,765000
791,500000
792,443500
793,707000
794,1150000
795,565000
796,1230000
797,352500
798,260000
799,420000
800,307000
801,630000
802,1060000
803,309950
804,485000
805,372000
806,860000
807,630000
808,875000
809,961500
810,481000
811,450000
812,539000
813,499950
814,267500
815,609850
816,339000
817,535800
818,1665000
819,325000
820,500000
821,735000
822,509950
823,425000
824,100000
825,316000
826,620000
827,285000
828,690500
829,330000
830,460000
831,321000
832,229500
833,447000
834,424900
835,440000
836,550000
837,619000
838,895000
839,599500
840,320000
841,575000
842,397950
843,305000
844,338000
845,680000
846,752500
847,555000
848,637000
849,539950
850,222000
851,418395
852,676500
853,395000
854,950000
855,497000
856,830000
857,449500
858,569888
859,590000
860,415000
861,540000
862,715000
863,286000
864,405000
865,535000
866,454800
867,545000
868,352750
869,219950
870,524000
871,455000
872,1049000
873,315000
874,313100
875,810000
876,378510
877,749950
878,561000
879,604700
880,320000
881,278000
882,465000
883,615000
884,846000
885,424305
886,515000
887,696000
888,1010000
889,365000
890,465000
891,795000
892,387500
893,400000
894,255000
895,469000
896,280000
897,339950
898,439000
899,679950
900,275000
901,361000
902,439950
903,775000
904,572500
905,435000
906,300523
907,294900
908,231500
909,850000
910,736000
911,1275000
912,680000
913,225000
914,269950
915,425000
916,500000
917,380000
918,837000
919,252000
920,495000
921,230000
922,350000
923,255000
924,284950
925,1625000
926,850000
927,583000
928,367000
929,1313000
930,650000
931,914500
932,359800
933,260000
934,691000
935,550000
936,195000
937,190500
938,240000
939,290000
940,377000
941,400000
942,325000
943,1350000
944,711000
945,360000
946,775000
947,1987500
948,340000
949,795000
950,587000
951,189000
952,603500
953,336000
954,380000
955,220000
956,499000
957,908990
958,670000
959,316500
960,1325000
961,190000
962,599950
963,320000
964,630000
965,294350
966,915000
967,278000
968,830000
969,559500
970,352950
971,635000
972,1525000
973,601500
974,993000
975,240000
976,487250
977,255000
978,963000
979,447000
980,577000
981,1220000
982,514000
983,475000
984,550000
985,599000
986,270000
987,998000
988,704000
989,775000
990,375000
991,380000
992,542500
993,725000
994,575000
995,652500
996,608000
997,999950
998,415000
999,650000
1000,478000
1001,450000
1002,365000
1003,745000
1004,443000
1005,605500
1006,489000
1007,340000
1008,150000
1009,425000
1010,1250000
1011,359000
1012,778983
1013,539000
1014,365000
1015,638150
1016,350000
1017,412000
1018,370000
1019,180500
1020,310000
1021,295000
1022,475000
1023,540000
1024,1195000
1025,340000
1026,718000
1027,549000
1028,1680000
1029,251000
1030,285000
1031,430000
1032,250000
1033,349900
1034,374150
1035,6885000
1036,780000
1037,513000
1038,650000
1039,858450
1040,318200
1041,767500
1042,483000
1043,750000
1044,500000
1045,407500
1046,295000
1047,425000
1048,324000
1049,550000
1050,530000
1051,373000
1052,396000
1053,270000
1054,1360000
1055,275000
1056,299800
1057,412133
1058,378000
1059,631500
1060,225000
1061,535000
1062,539000
1063,233000
1064,190000
1065,327500
1066,392500
1067,495000
1068,842000
1069,599990
1070,350000
1071,340000
1072,314000
1073,550000
1074,269000
1075,396000
1076,268000
1077,350000
1078,235000
1079,2890000
1080,275000
1081,737500
1082,674000
1083,650000
1084,191000
1085,900000
1086,335000
1087,290300
1088,1031000
1089,580000
1090,451555
1091,235000
1092,685000
1093,1650000
1094,535000
1095,975000
1096,480000
1097,190000
1098,293000
1099,315000
1100,261500
1101,470000
1102,300000
1103,411000
1104,715000
1105,330000
1106,407193
1107,247500
1108,405000
1109,740000
1110,565000
1111,989900
1112,450000
1113,160000
1114,425000
1115,259950
1116,633000
1117,1650000
1118,750000
1119,261490
1120,250000
1121,345000
1122,679000
1123,315000
1124,399000
1125,750000
1126,308130
1127,529219
1128,920000
1129,461000
1130,540000
1131,700000
1132,716000
1133,495000
1134,420000
1135,362000
1136,517500
1137,815000
1138,250000
1139,359782
1140,372500
1141,715000
1142,428000
1143,245000
1144,499000
1145,1020000
1146,565000
1147,453000
1148,275000
1149,638000
1150,147400
1151,695000
1152,235000
1153,659950
1154,436000
1155,350000
1156,690000
1157,655000
1158,2300000
1159,685000
1160,1240000
1161,358000
1162,280927
1163,189000
1164,1712750
1165,540000
1166,399888
1167,510000
1168,455000
1169,870000
1170,544000
1171,240000
1172,538000
1173,375000
1174,1045000
1175,150550
1176,716125
1177,226000
1178,505000
1179,392000
1180,525000
1181,565000
1182,265000
1183,147500
1184,978000
1185,525000
1186,1537000
1187,675500
1188,612000
1189,955500
1190,334000
1191,454000
1192,310000
1193,720000
1194,1580000
1195,1485000
1196,2500000
1197,450000
1198,247200
1199,345000
1200,313200
1201,1770000
1202,689900
1203,390000
1204,350000
1205,669000
1206,425000
1207,423000
1208,795000
1209,360000
1210,739900
1211,515000
1212,340000
1213,1175000
1214,417000
1215,660000
1216,744000
1217,485000
1218,870000
1219,423000
1220,288349
1221,530000
1222,561000
1223,650000
1224,465000
1225,708000
1226,641000
1227,568000
1228,824000
1229,278100
1230,334000
1231,405000
1232,428000
1233,299000
1234,672000
1235,390000
1236,373000
1237,321500
1238,715000
1239,503000
1240,998000
1241,387000
1242,357500
1243,323000
1244,427005
1245,450000
1246,550000
1247,727000
1248,1430000
1249,501000
1250,415000
1251,431000
1252,437500
1253,489000
1254,870000
1255,515000
1256,495000
1257,580000
1258,1249000
1259,712500
1260,325000
1261,710000
1262,419000
1263,217500
1264,235750
1265,499900
1266,762000
1267,575000
1268,490000
1269,423000
1270,600000
1271,502000
1272,555000
1273,260000
1274,272000
1275,595000
1276,335000
1277,575000
1278,1620000
1279,160000
1280,529000
1281,510000
1282,390000
1283,435000
1284,169000
1285,430000
1286,263000
1287,475000
1288,446000
1289,462500
1290,430000
1291,570000
1292,425000
1293,435000
1294,215000
1295,580000
1296,1300000
1297,565000
1298,355000
1299,744000
1300,650000
1301,468000
1302,370000
1303,440000
1304,445000
1305,525000
1306,522250
1307,801501
1308,749000
1309,390000
1310,933000
1311,499000
1312,659000
1313,303000
1314,473000
1315,645000
1316,199500
1317,450000
1318,342000
1319,415000
1320,690000
1321,230000
1322,428750
1323,685000
1324,410000
1325,290000
1326,887000
1327,919950
1328,385000
1329,1025000
1330,1284000
1331,304000
1332,320000
1333,580000
1334,225000
1335,506000
1336,200000
1337,422500
1338,750000
1339,3567000
1340,530000
1341,545000
1342,250000
1343,221000
1344,565000
1345,234000
1346,289000
1347,575000
1348,401750
1349,370000
1350,125000
1351,257500
1352,270000
1353,685000
1354,372000
1355,1015000
1356,236000
1357,530000
1358,258750
1359,390000
1360,828000
1361,1312000
1362,167000
1363,330000
1364,570000
1365,1195000
1366,315000
1367,1205000
1368,668750
1369,588000
1370,399888
1371,157000
1372,969500
1373,389950
1374,540000
1375,299000
1376,1835000
1377,359000
1378,255000
1379,329000
1380,717000
1381,542950
1382,1225000
1383,218000
1384,924000
1385,455000
1386,350000
1387,727500
1388,200000
1389,430000
